CONSOL ALLIANCE AUSTRALIA PTY LTD,AMICO LOANO SRL,SKYLINE,NAVBNE355010,AUBNE,ITMIL,ITMIL,,,267,KG,1.046,M3,,,,,1,PKG,DAP,,SKYLINE
PACIFIC STAR EXPRESS CORPORATION,AMPLEX GROUP PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYD1611626,TWKHH,AUSYD,AUSYD,AMPLEX (IN TRI) PO# DESCRIPTION QUANTITY SYDNEY PALLET NO:1-18 MADE IN TAIWAN N.W. KGS G.W. KGS MEAS'T: CUFT,,8758,KG,53.35,M3,OOLU4506329,OOLEHX5372,CY/CY,42G1,18,PLT,FOB,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
PACIFIC STAR EXPRESS CORPORATION,AMPLEX GROUP PTY LTD,CONSOL ALLIANCE  AUSTRALIA PTY LTD,SYD1612609,TWKHH,AUSYD,AUSYD,AMPLEX (IN TRI) PO# DESCRIPTION QUANTITY SYDNEY PALLET NO: 1-10 MADE IN TAIWAN N.W. KGS G.W. KGS MEAS'T: CUFT,,4970,KG,26.82,M3,CBHU4107004,COST858881,CY/CY,22G0,10,PLT,FOB,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,AMR HAIR AND BEAUTY WAREHOUSE,NAVIA LOGISTICS PTY LTD,WL365298,HKHKG,AUSYD,AUSYD,,,697,KG,0,M3,,,,,154,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,FCIU3839288,H4041469,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU1096528,821277,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU1451670,821279,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU7302357,821278,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU7835253,821280,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU7856750,H4041462,CY/CY,22G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU4409185,850926,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU4451333,850924,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU4597800,852450,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU4676617,850933,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,HASU5073686,850827,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU6663674,850925,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU6690005,850932,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU6893764,852449,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU8519917,852441,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
OCEANBRIDGE SHIPPING LTD.,AMWAY HEAD OFFICE,NAVIA LOGISTICS PTY LTD,S00573836,NZAKL,AUSYD,AUSYD,,,55024.2,KG,100,M3,SUDU8703502,850928,CY/CY,45G0,16674,CAS,CFR,,NAVIA LOGISTICS PTY LTD
CHARTER LINK LOGISTICS LTD,ANC GLOBAL LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,GMEL1611053505,HKHKG,AUMEL,AUMEL,TRYPER,"STC. POWER SUPPLY            
LED LIGHT",1108,KG,3.42,M3,PCIU6003820,T0989334,CFS/CFS,45R1,62,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ANC GLOBAL LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,GMEL1611053505,HKHKG,AUMEL,AUMEL,TRYPER,"STC. POWER SUPPLY            
LED LIGHT",1108,KG,3.42,M3,TTNU8202855,T0989337,CFS/CFS,45R1,62,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ANC GLOBAL LOGISTICS,CONSOL ALLIANCE AUSTRALIA PTY LTD,SZSMEL611106902,HKHKG,AUMEL,AUMEL,N/M,,230.7,KG,2.81,M3,BMOU9501957,2570624,CFS/CFS,42G1,11,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,ANDRE MASELLI,CONSOL ALLIANCE AUSTRALIA PTY LTD,GZAUBNE6K004,HKHKG,AUBNE,AUBNE,MASELLI,,130,KG,1.6,M3,DFOU6140457,2571330,CFS/CFS,42G1,14,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,ANDREW COPELAND,OCEANBRIDGE SHIPPING LTD.,NAVMEL348189,AUBNE,NZAKL,NZAKL,CARNET NZ6906,,677,KG,0,M3,TRLU3849811,H4041541,CY/CY,22G0,39,PKG,CFR,,OCEANBRIDGE SHIPPING LTD.
NFS (AIRFREIGHT) NEUTRAL FREIGHT SERVICE B.V.,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD,ESAMS16C0020,NLAMS,AUSYD,AUSYD,,,73,KG,1.164,M3,PMC5798MH,5,,,1,PKG,CIF,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD
NFS (AIRFREIGHT) NEUTRAL FREIGHT SERVICE B.V.,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD,ESAMS16C0020,NLAMS,AUSYD,AUSYD,,,73,KG,1.164,M3,PMC5890MH,5,,,1,PKG,CIF,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD
NFS (AIRFREIGHT) NEUTRAL FREIGHT SERVICE B.V.,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD,ESAMS16C0020,NLAMS,AUSYD,AUSYD,,,73,KG,1.164,M3,PMC62225MH,5,,,1,PKG,CIF,ANDREW KREMER,CONSOL ALLIANCE  AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,ANDREW MCKENZIE,OCEANBRIDGE SHIPPING LTD.,NAVMEL354573,AUMEL,NZAKL,NZAKL,,,79,KG,0,M3,MRKU2190304,MLAU1258170,CY/CY,45G0,9,PKG,CFR,,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,ANDREW MCKENZIE,OCEANBRIDGE SHIPPING LTD.,NAVMEL354573,AUMEL,NZAKL,NZAKL,,,79,KG,0,M3,MRKU4436819,AU1258226,CY/CY,45G0,9,PKG,CFR,,OCEANBRIDGE SHIPPING LTD.
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANDREW NOORDERHAVEN,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160404331A,CNSHA,AUSYD,AUSYD,SHUNYU,,350,KG,1.29,M3,EMCU9711795,5001132,CFS/CFS,45G0,1,CAS,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANDREW NOORDERHAVEN,CONSOL ALLIANCE  AUSTRALIA PTY LTD,AMIGL160404331A,CNSHA,AUSYD,AUSYD,SHUNYU,,350,KG,1.29,M3,EMCU9742672,EMCBGJ4416,CFS/CFS,45G0,1,CAS,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,ANDRITZ PTY LTD,SPECIFIC FREIGHT PTY LTD,S00070649,USORD,AUBNE,AUBNE,,,257,KG,2.133,M3,,,,,1,PLT,CFR,,SPECIFIC FREIGHT PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANIMAL CYCLES AUSTRALIA,CONSOL ALLIANCE  AUSTRALIA PTY LTD,NSYD1611019201,CNNGB,AUSYD,AUSYD,RIDE ON HORSE,,787,KG,7.56,M3,SZLU9676220,3918581,CFS/CFS,42G1,50,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,ANIMALIA EXOTICA,COMMERCIAL FREIGHT & LOGISTICS PTY LTD,265000000000,BRGRU,AUMEL,AUMEL,,"20 BALES CONTAINING :                     
84 HIDES OF COWHIDE LEATHERHAIR ON,
6 UNITS OF STITCHED LEATHER RUGS,
HAIR ON,
64 UNITS OF STITCHED LEATHER
CUSHIONS, HAIR ON,
20 SKINS OF CALFSKIN LEATHER, HAIR ON,",420,KG,0,M3,,,,,20,PKG,CFR,FRF COURIERS,COMMERCIAL FREIGHT & LOGISTICS PTY LTD
CHARTER LINK LOGISTICS LTD,ANTHAEA JONES PHOTOGRAPHY,CONSOL ALLIANCE AUSTRALIA PTY LTD,GMEL1611112902,HKHKG,AUMEL,AUMEL,SAFETY RAZORS,"STC. SAFETY RAZORS                 
HS CODE:8212100000",71,KG,0.179,M3,TCNU7699662,F4536253,CFS/CFS,45G0,5,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANTHONY WATMOUGH,CONSOL ALLIANCE  AUSTRALIA PTY LTD,OLCQD16116855,CNTAO,AUSYD,AUSYD,N/M,,790,KG,2.04,M3,SUDU7331777,H1114254,CFS/CFS,22G0,1,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANTHONY WATMOUGH,CONSOL ALLIANCE  AUSTRALIA PTY LTD,OLCQD16116855,CNTAO,AUSYD,AUSYD,N/M,,790,KG,2.04,M3,SUDU6549403,H1114258,CFS/CFS,45G0,1,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANTHONY WATMOUGH,CONSOL ALLIANCE  AUSTRALIA PTY LTD,OLCQD16116855,CNTAO,AUSYD,AUSYD,N/M,,790,KG,2.04,M3,SUDU6906075,H1114256,CFS/CFS,45G0,1,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20374,BDDAC,AUSYD,AUSYD,,,1250,KG,5.68,M3,,,,,91,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20385,BDDAC,AUSYD,AUSYD,,,730,KG,5.034,M3,,,,,56,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20410,BDDAC,AUSYD,AUSYD,,,302,KG,2.142,M3,,,,,23,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20453,BDDAC,AUSYD,AUSYD,,,129,KG,0.834,M3,,,,,9,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20458,BDDAC,AUSYD,AUSYD,,,375,KG,3.132,M3,,,,,227,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20490,BDDAC,AUSYD,AUSYD,,,361,KG,2.346,M3,,,,,127,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
,"ANZ BANKING GROUP LTD., AUSTRALIA",APL LOGISTICS AUSTRALIA,SD20513,BDDAC,AUSYD,AUSYD,,,69,KG,0,M3,,,,,4,PKG,CFR,TRANSPORT FREIGHT SOLUTIONS,APL LOGISTICS AUSTRALIA
NAVIA LOGISTICS PTY LTD,ANZ PHARMA,OCEANBRIDGE SHIPPING LTD.,NAVCAM346976,AUSYD,NZAKL,NZAKL,"
REF: TIE16118994","175 BOXES STC PLASTIC SHELF DISPLAY

�DESTINATION CHARGES INCLUDING CLEARANCE AND DELIVERY TO CONSIGNEE�S DOOR PRE-PAID AT ORIGIN ALL DUTIES AND TAXES TO CONSIGNEE�S ACCOUNT�",1000,KG,3.548,M3,GESU3555389,AHL3822786,CFS/CFS,22G0,2,PLT,DAP,,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,ANZ PHARMA,OCEANBRIDGE SHIPPING LTD.,NAVCAM346976,AUSYD,NZAKL,NZAKL,"
REF: TIE16118994","175 BOXES STC PLASTIC SHELF DISPLAY

�DESTINATION CHARGES INCLUDING CLEARANCE AND DELIVERY TO CONSIGNEE�S DOOR PRE-PAID AT ORIGIN ALL DUTIES AND TAXES TO CONSIGNEE�S ACCOUNT�",1000,KG,3.548,M3,BSIU9081361,AHL3822804,CFS/CFS,45G0,2,PLT,DAP,,OCEANBRIDGE SHIPPING LTD.
NAVIA LOGISTICS PTY LTD,ANZ PHARMA,OCEANBRIDGE SHIPPING LTD.,NAVCAM346976,AUSYD,NZAKL,NZAKL,"
REF: TIE16118994","175 BOXES STC PLASTIC SHELF DISPLAY

�DESTINATION CHARGES INCLUDING CLEARANCE AND DELIVERY TO CONSIGNEE�S DOOR PRE-PAID AT ORIGIN ALL DUTIES AND TAXES TO CONSIGNEE�S ACCOUNT�",1000,KG,3.548,M3,INKU6393062,AHL3822805,CFS/CFS,45G0,2,PLT,DAP,,OCEANBRIDGE SHIPPING LTD.
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611090,CNSHK,AUSYD,AUSYD,PAPAYA,"STC. CERAMIC WARES     
CERAMIC POTS",779.5,KG,4.512,M3,GESU3878798,CB233362,CFS/CFS,22G0,91,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611090,CNSHK,AUSYD,AUSYD,PAPAYA,"STC. CERAMIC WARES     
CERAMIC POTS",779.5,KG,4.512,M3,MAGU2257224,CB233367,CFS/CFS,22G0,91,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611090,CNSHK,AUSYD,AUSYD,PAPAYA,"STC. CERAMIC WARES     
CERAMIC POTS",779.5,KG,4.512,M3,CBHU9567532,CA369452,CFS/CFS,42G1,91,CTN,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611091,CNSHK,AUSYD,AUSYD,GLOBAL WIDE,"STC. MOCK UP DARK WALNUT COLOR
EUROPEAN OAK
ENGINEERED FLOORING AB GRADE
(SEMI HIGH GLOSS)",3308,KG,7.292,M3,GESU3878798,CB233362,CFS/CFS,22G0,3,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611091,CNSHK,AUSYD,AUSYD,GLOBAL WIDE,"STC. MOCK UP DARK WALNUT COLOR
EUROPEAN OAK
ENGINEERED FLOORING AB GRADE
(SEMI HIGH GLOSS)",3308,KG,7.292,M3,MAGU2257224,CB233367,CFS/CFS,22G0,3,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",ANZAK LOGISTICS,CONSOL ALLIANCE  AUSTRALIA PTY LTD,RXSYD1611091,CNSHK,AUSYD,AUSYD,GLOBAL WIDE,"STC. MOCK UP DARK WALNUT COLOR
EUROPEAN OAK
ENGINEERED FLOORING AB GRADE
(SEMI HIGH GLOSS)",3308,KG,7.292,M3,CBHU9567532,CA369452,CFS/CFS,42G1,3,PLT,CFR,,CONSOL ALLIANCE  AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,A-ONE EUROPEAN PRODUCTS PTE LTD,PENANSHIN SHIPPING PTE LTD,NAVBNE347757,AUMEL,SGSIN,SGSIN,"
ROBINVALE DEMETER

ROBINVALE DEMETER


ROBINVALE DEMETER

ROBINVALE DEMETER


GREENWOOD ORCHARD

GREENWOOD ORCHARD

REF: W-51955","50 CTNS STC DEMETR RED GRAPE JUICE 1 LITRE X 8 PER CARTON

25 CTNS STC DEMETER WHITE GRAPE JUICE 1 LITRE  X 8 PER CARTON

3 CTNS STC DEMETER SEEDLESS RAISINS 20 X 500G PER CARTON

8 CTNS STC DEMETER CHOICE NATURAL SULTANAS 20 X 500G PER CARTON

2 CTNS STC DEMETER APPLE JUICE 6 X 1 LITRE PER CARTON

2 CTNS STC DEMETER PEARL JUICE 6 X 1 LITRE PER CARTON

�FREIGHT AND ALL DESTINATION CHARGES ARE FOR THE CONSIGNEE�S ACCOUNT�",1220,KG,2.669,M3,BMOU6638761,ML-AU0567238,CFS/CFS,45G0,1,PLT,FOB,,PENANSHIN SHIPPING PTE LTD
NAVIA LOGISTICS PTY LTD,A-ONE EUROPEAN PRODUCTS PTE LTD,PENANSHIN SHIPPING PTE LTD,NAVBNE347757,AUMEL,SGSIN,SGSIN,"
ROBINVALE DEMETER

ROBINVALE DEMETER


ROBINVALE DEMETER

ROBINVALE DEMETER


GREENWOOD ORCHARD

GREENWOOD ORCHARD

REF: W-51955","50 CTNS STC DEMETR RED GRAPE JUICE 1 LITRE X 8 PER CARTON

25 CTNS STC DEMETER WHITE GRAPE JUICE 1 LITRE  X 8 PER CARTON

3 CTNS STC DEMETER SEEDLESS RAISINS 20 X 500G PER CARTON

8 CTNS STC DEMETER CHOICE NATURAL SULTANAS 20 X 500G PER CARTON

2 CTNS STC DEMETER APPLE JUICE 6 X 1 LITRE PER CARTON

2 CTNS STC DEMETER PEARL JUICE 6 X 1 LITRE PER CARTON

�FREIGHT AND ALL DESTINATION CHARGES ARE FOR THE CONSIGNEE�S ACCOUNT�",1220,KG,2.669,M3,TEMU7654170,ML-AU0567195,CFS/CFS,45G0,1,PLT,FOB,,PENANSHIN SHIPPING PTE LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AOXING INGREDIENT PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160404384A,CNSHA,AUMEL,AUMEL,"BCAA
BETAINE HCL
NICOINAMIDE","STC. BCAA   
BETAINE HCL
NICOTINIDE",1492,KG,3.5,M3,CAIU8416758,EDZ5970,CFS/CFS,42G1,54,DRM,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AOXING INGREDIENT PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160404384A,CNSHA,AUMEL,AUMEL,"BCAA
BETAINE HCL
NICOINAMIDE","STC. BCAA   
BETAINE HCL
NICOTINIDE",1492,KG,3.5,M3,OOLU8137764,EDZ5993,CFS/CFS,42G1,54,DRM,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AOXING INGREDIENT PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160435826A,CNSHA,AUMEL,AUMEL,"AGMATINE SULPHATE
L-ARGININE ALPHA KETOGLUTARATE
DIHYDRATE","STC. AGMATINE SULPHATE           
L-ARGININE ALPHA-KETOGLUTARATE DIHYDRATE",390,KG,1,M3,SEGU2290192,YMLM952046,CFS/CFS,22G0,14,DRM,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",AOXING INGREDIENT PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160435826A,CNSHA,AUMEL,AUMEL,"AGMATINE SULPHATE
L-ARGININE ALPHA KETOGLUTARATE
DIHYDRATE","STC. AGMATINE SULPHATE           
L-ARGININE ALPHA-KETOGLUTARATE DIHYDRATE",390,KG,1,M3,SZLU9827749,8216916,CFS/CFS,42G1,14,DRM,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160397730A,CNSHK,AUMEL,AUMEL,"USWE
SWEDEN
STYLE NO.
QUANTITY:
CARTON SIZE:
N.W.:
G.W.:
CARTON NO.:",,486,KG,3.79,M3,CBHU5574786,CA463485,CFS/CFS,22G0,33,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160397730A,CNSHK,AUMEL,AUMEL,"USWE
SWEDEN
STYLE NO.
QUANTITY:
CARTON SIZE:
N.W.:
G.W.:
CARTON NO.:",,486,KG,3.79,M3,TCNU5714602,CA701035,CFS/CFS,42G1,33,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160397730A,CNSHK,AUMEL,AUMEL,"USWE
SWEDEN
STYLE NO.
QUANTITY:
CARTON SIZE:
N.W.:
G.W.:
CARTON NO.:",,486,KG,3.79,M3,TCNU6319074,CA701120,CFS/CFS,42G1,33,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160407191A,CNSHK,AUMEL,AUMEL,FLUID AUDIO,"STC. 123CTNS      
SPEAKER
C5
F4/F5
FX8
SPARE PARTS",1459,KG,9.862,M3,TEMU6011409,CA369423,CFS/CFS,42G1,5,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160407191A,CNSHK,AUMEL,AUMEL,FLUID AUDIO,"STC. 123CTNS      
SPEAKER
C5
F4/F5
FX8
SPARE PARTS",1459,KG,9.862,M3,TEMU9305705,CA924054,CFS/CFS,42G1,5,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160407191A,CNSHK,AUMEL,AUMEL,FLUID AUDIO,"STC. 123CTNS      
SPEAKER
C5
F4/F5
FX8
SPARE PARTS",1459,KG,9.862,M3,TEMU9306424,CA924210,CFS/CFS,42G1,5,PLT,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160424378A,CNSHK,AUMEL,AUMEL,STRIKC SO MELBOURNE AUSTRALIA,,450.5,KG,4.385,M3,CBHU4459216,CB233531,CFS/CFS,22G0,30,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160424378A,CNSHK,AUMEL,AUMEL,STRIKC SO MELBOURNE AUSTRALIA,,450.5,KG,4.385,M3,CSLU1693999,CB233513,CFS/CFS,22G0,30,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
"AMASS FREIGHT INTERNATIONAL CO.,LTD SHANGHAI",APA OLSEN PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,AMIGL160424378A,CNSHK,AUMEL,AUMEL,STRIKC SO MELBOURNE AUSTRALIA,,450.5,KG,4.385,M3,FSCU8812484,CB238379,CFS/CFS,42G1,30,CTN,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
